Timestamp,AirPressure,AirTemperatureA,AirHumidity,AirTemperatureB,V450,B500,G550,Y570,O600,R650,SoilTemperatureA,SoilTemperatureB,TotalLuminosity
5/10/2023 12:00,997_430481,17_31018066,69_71740723,16_22581291,243_4965515,394_0332642,216_0874176,281_5037231,171_2678833,224_908844,11_6953125,14_765625,1531_297684
5/10/2023 13:00,997_1350098,14_66975403,56_20422363,15_07774067,447_2343445,536_9109497,334_2290039,385_4492188,320_4956055,402_3442993,11_796875,13_4296875,2426_663422
5/10/2023 14:00,997_0935059,15_15917969,58_63037109,15_20362568,591_9377441,761_1574097,443_392334,566_0568848,362_3027649,573_4907837,11_9296875,13_34375,3298_337921
5/10/2023 15:00,996_940918,17_2646637,58_15429688,17_56019402,699_2216797,924_0219116,496_3729248,644_3347168,445_8118896,724_9788818,12_0546875,13_65625,3934_742004
5/10/2023 16:00,996_5751343,17_18093872,57_17163086,17_07679558,201_707077,290_0482788,119_6729431,162_9624939,115_3808899,231_0703583,12_1640625,14_0546875,1120_842041
5/10/2023 17:00,996_2375488,13_84992981,59_38415527,14_65476704,217_9458313,306_9636536,146_6935272,198_712616,112_9858627,204_1164398,12_25,12_8046875,1187_417931
5/10/2023 18:00,995_946106,12_50078583,58_93554688,13_90449238,78_96176147,72_44895172,38_46715546,39_12970734,30_55060768,28_89247894,12_328125,12_1953125,288_4506626
5/10/2023 19:00,995_8757935,12_01023102,61_11755371,13_64768696,85_83700562,74_68692017,51_5374527,53_60824203,48_57675552,51_99772263,12_375,11_7734375,366_2440987
5/10/2023 20:00,996_0491943,10_59028625,73_57788086,12_06657124,20_42316437,23_20060349,9_96147728,11_22616005,7_319633961,10_53520107,12_40625,11_5390625,82_66624022
5/10/2023 21:00,996_5267944,7_55090332,85_75439453,9_493481636,0_061520074,0_057007942,0_019885832,0_020010982,0_012266858,0_024142211,12_40625,10_9609375,0_194833899
5/10/2023 22:00,996_9622803,5_939353943,99_99694824,8_204419136,0,0,0,0,0,0,12_375,10_4921875,0
5/10/2023 23:00,997_0611572,5_705032349,99_99694824,7_967755318,0,0,0,0,0,0,12_34375,10_1953125,0
5/11/2023 0:00,997_0921021,4_769454956,99_99694824,7_121808052,0,0,0,0,0,0,12_3046875,9_828125,0
5/11/2023 1:00,996_7922363,3_398948669,99_99694824,5_968701363,0,0,0,0,0,0,12_2421875,9_3359375,0
5/11/2023 2:00,996_8762207,2_250968933,99_99694824,4_961621284,0,0,0,0,0,0,12_1796875,8_859375,0
5/11/2023 3:00,996_7857666,1_083320618,99_99694824,3_924328804,0,0,0,0,0,0,12_1015625,8_234375,0
5/11/2023 4:00,996_8521729,0_525901794,99_99694824,3_445965767,0,0,0,0,0,0,12_0078125,7_7421875,0
5/11/2023 5:00,996_7896118,-0_151199341,99_99694824,2_907177925,0_027008811,0_024431977,0_009280056,0_008239816,0_004906743,0_008047404,11_8984375,7_3046875,0_081914807
5/11/2023 6:00,997_1296387,0_839168549,99_99694824,3_934399605,31_33922615,34_69503535,20_9662966,19_99097065,17_70659499,12_57924095,11_78515625,7_22265625,137_2773647
5/11/2023 7:00,997_4696655,1_829536438,99_99694824,4_961621284,62_65144348,69_36563873,41_92331314,39_97370148,35_40828323,25_15043449,11_671875,7_140625,274_4728146
5/11/2023 8:00,997_7491455,6_891792297,88_09204102,10_15311909,103_8654175,116_9454117,76_10442352,70_35617828,86_7512207,43_27740097,11_5390625,8_1953125,497_3000527
5/11/2023 9:00,998_0036621,13_36050415,78_70483398,14_41306782,148_9186707,180_5699005,111_4200439,109_57901,118_4130554,69_16007996,11_4140625,10_1953125,738_0607605
5/11/2023 10:00,998_0461426,20_83504486,69_49157715,17_86231804,365_4726868,536_3456421,354_5124817,350_5214233,318_000824,301_4331055,11_3359375,11_859375,2226_286163
5/11/2023 11:00,997_9673462,26_11308289,54_30908203,21_35688591,500_0428162,1134_147583,437_772522,503_2386475,399_960144,388_9561462,11_3125,13_8515625,3364_117859
5/11/2023 12:00,997_7497559,16_24591827,68_37463379,15_27412128,133_9615173,170_903717,97_59980774,120_6242371,87_79317474,126_5324402,11_3515625,13_9921875,737_4148941
5/11/2023 13:00,997_6546631,14_73381805,66_56799316,15_27412128,410_9141235,531_5585327,372_9674377,427_6368408,301_1630859,338_4288025,11_4765625,13_0625,2382_668823
5/11/2023 14:00,997_361145,13_60887146,68_59436035,14_50874043,264_3265381,303_5712585,223_5119324,250_6740417,192_8737946,222_8694305,11_6171875,12_328125,1457_826996
5/11/2023 15:00,997_088623,16_40999603,64_2791748,16_74445915,581_8115845,752_5423584,454_4396973,559_0546265,390_271698,556_8678589,11_75,13_109375,3294_987824
5/11/2023 16:00,996_6949463,18_20474243,56_88781738,17_76664543,457_4598694,522_632019,330_2344971,396_9303284,293_7954407,400_2487488,11_8515625,13_7421875,2401_300903
5/11/2023 17:00,996_317627,16_474617,56_51550293,17_05161858,230_2098999,240_6429901,185_774292,198_6962585,155_0314178,146_7149353,11_953125,13_125,1157_069794
5/11/2023 18:00,996_2271729,14_85743713,61_65466309,16_0294323,114_5483093,103_9417267,74_14872742,75_1162262,64_40923309,47_88862991,12_0390625,12_796875,480_0528526
